h,id,label,fuel_class,OutputPower
2016-11-30T23:00:00Z,2012,2012-Lost Load,Fossil fuels,38007.22797509168
2016-11-30T00:00:00Z,1996,1996-Median Demand,Hydro,523.6575829479864
2016-11-30T00:00:00Z,2000,2000-Low Demand,Hydro,846.5957285745708
2016-11-30T00:00:00Z,2001,2001-Low Demand,Hydro,444.578270809773
2016-11-30T00:00:00Z,2008,2008-High Demand,Hydro,390.9108874030647
2016-11-30T00:00:00Z,2010,2010-High Demand,Hydro,258.7256338311056
2016-11-30T00:00:00Z,2012,2012-Lost Load,Hydro,748.4105784378011
2016-11-30T01:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T01:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T01:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T01:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T01:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T01:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T02:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T02:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T02:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T02:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T02:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T02:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T03:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T03:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T03:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T03:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T03:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T03:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T04:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
2016-11-30T04:00:00Z,2000,2000-Low Demand,Hydro,797.628692844609
2016-11-30T04:00:00Z,2001,2001-Low Demand,Hydro,493.64127431041084
2016-11-30T04:00:00Z,2008,2008-High Demand,Hydro,357.2085577285427
2016-11-30T04:00:00Z,2010,2010-High Demand,Hydro,232.76690692379998
2016-11-30T04:00:00Z,2012,2012-Lost Load,Hydro,660.4053796763172
2016-11-30T05:00:00Z,1996,1996-Median Demand,Hydro,525.5177025812764
