week,Location,id,level
25,SEE,1991,4.490949447113299
25,SEE,1997,4.644569989246463
25,SEE,2000,4.608659824401116
25,SEE,2002,4.431928576467976
25,SEE,2006,4.883782309903574
25,SEE,2008,4.777194200578042
26,UK & Ireland,1991,0.010471437690071644
26,UK & Ireland,1997,0.014528513829934128
26,UK & Ireland,2000,0.015341999836702818
26,UK & Ireland,2002,0.015327117243544491
26,UK & Ireland,2006,0.014397876721658797
26,UK & Ireland,2008,0.013169247659279142
26,CEE,1991,0.4423586566396159
26,CEE,1997,0.4600968986330876
26,CEE,2000,0.6360659846717772
26,CEE,2002,0.37159146295897744
26,CEE,2006,0.5470714630379606
26,CEE,2008,0.52038228306941
26,CWE,1991,3.235605737036004
26,CWE,1997,3.4310896380263363
26,CWE,2000,4.419524482668492
26,CWE,2002,3.768115438209476
26,CWE,2006,4.374959697185303
26,CWE,2008,4.246942897146787
26,Iberia,1991,14.296947809115608
26,Iberia,1997,11.520572221272186
26,Iberia,2000,10.456459571883423
26,Iberia,2002,9.796943157973073
26,Iberia,2006,10.041876059185341
26,Iberia,2008,12.30418996651653
26,Italy,1991,2.4861451644539163
26,Italy,1997,2.4848374240705886
26,Italy,2000,2.756458262314358
26,Italy,2002,3.2016425430980173
26,Italy,2006,2.4757909405005165
26,Italy,2008,3.045398717417457
26,Northern,1991,35.83137881498976
26,Northern,1997,54.66162859952791
26,Northern,2000,74.33623952497346
26,Northern,2002,66.91528574010262
26,Northern,2006,41.89739886865619
26,Northern,2008,56.46512780974105
26,SEE,1991,4.451988589303541
26,SEE,1997,4.581746154572191
26,SEE,2000,4.534823213186328
26,SEE,2002,4.350088938200237
26,SEE,2006,4.80789590946606
26,SEE,2008,4.709349376557269
27,UK & Ireland,1991,0.011088554300055661
27,UK & Ireland,1997,0.012760663412195762
27,UK & Ireland,2000,0.008864043895532019
27,UK & Ireland,2002,0.01064133082653302
27,UK & Ireland,2006,0.01029117016729265
27,UK & Ireland,2008,0.010899005963061151
27,CEE,1991,0.4567636212101642
27,CEE,1997,0.4524051326051299
27,CEE,2000,0.6301312668589605
27,CEE,2002,0.37337889321048423
27,CEE,2006,0.5725495564202173
27,CEE,2008,0.5224509736726874
27,CWE,1991,3.667984380452938
27,CWE,1997,3.829376175764309
27,CWE,2000,4.536686475293777
27,CWE,2002,4.136262778197767
27,CWE,2006,4.637801450379296
27,CWE,2008,4.493369293186956
27,Iberia,1991,13.824141304854242
27,Iberia,1997,11.186293768997869
27,Iberia,2000,9.91974454025746
27,Iberia,2002,9.239325635517114
27,Iberia,2006,9.399715862579667
27,Iberia,2008,11.95682408301683
27,Italy,1991,2.6653445866817127
27,Italy,1997,2.7559820002329265
27,Italy,2000,2.798267736795711
27,Italy,2002,3.204795918509745
27,Italy,2006,2.551453543921179
27,Italy,2008,3.190126269762872
27,Northern,1991,39.41078348796067
27,Northern,1997,60.81613477446748
27,Northern,2000,80.63623378463367
27,Northern,2002,68.56064706070003
27,Northern,2006,42.314718802224476
27,Northern,2008,58.22780738565685
27,SEE,1991,4.384105829071479
27,SEE,1997,4.488792703114131
27,SEE,2000,4.448558638121539
27,SEE,2002,4.249655914750354
27,SEE,2006,4.773958108637576
27,SEE,2008,4.610062999416992
28,UK & Ireland,1991,0.014371269282695675
28,UK & Ireland,1997,0.015026981467052882
28,UK & Ireland,2000,0.016165414428924173
28,UK & Ireland,2002,0.011253147724159184
28,UK & Ireland,2006,0.01594570764734055
28,UK & Ireland,2008,0.013965717949174603
28,CEE,1991,0.4805233288569609
28,CEE,1997,0.49814638623768503
28,CEE,2000,0.6485215251742443
28,CEE,2002,0.37437951126160623
28,CEE,2006,0.5814171784734221
28,CEE,2008,0.5338169690830942
28,CWE,1991,4.14975135393712
28,CWE,1997,4.268290248930569
28,CWE,2000,4.8549508722439505
28,CWE,2002,4.427616752430698
28,CWE,2006,4.991712877843724
28,CWE,2008,4.815715373501325
28,Iberia,1991,13.151473715272713
28,Iberia,1997,10.641806014715543
28,Iberia,2000,9.549026659610869
28,Iberia,2002,8.69640678638405
28,Iberia,2006,8.751017605704394
28,Iberia,2008,11.54807442385712
28,Italy,1991,2.8080732796943586
28,Italy,1997,2.9983104648007877
28,Italy,2000,2.8824206509718953
28,Italy,2002,3.202091729803059
28,Italy,2006,2.6265099836219328
28,Italy,2008,3.201815502450343
28,Northern,1991,41.94104389098492
28,Northern,1997,64.49992937959162
28,Northern,2000,84.86435862608943
28,Northern,2002,70.64575946174122
28,Northern,2006,42.71645721709188
28,Northern,2008,59.559067362476235
28,SEE,1991,4.279470479525466
28,SEE,1997,4.358822178580812
28,SEE,2000,4.304047708113633
28,SEE,2002,4.08184363343905
28,SEE,2006,4.662918211685749
28,SEE,2008,4.471996562743859
29,UK & Ireland,1991,0.011850252531244656
29,UK & Ireland,1997,0.012285956290602248
29,UK & Ireland,2000,0.013193775455236728
29,UK & Ireland,2002,0.012026757419552158
29,UK & Ireland,2006,0.011933916358852697
29,UK & Ireland,2008,0.011858278467336234
29,CEE,1991,0.4882235992594691
29,CEE,1997,0.5146686981881887
29,CEE,2000,0.6648335721713455
29,CEE,2002,0.36370673189421515
29,CEE,2006,0.575744999828178
29,CEE,2008,0.5504745539492873
29,CWE,1991,4.617090558654944
29,CWE,1997,4.6779468672463
29,CWE,2000,4.968955636147881
29,CWE,2002,4.638100421796859
29,CWE,2006,5.199002635300097
29,CWE,2008,5.094635407936951
29,Iberia,1991,12.29156889704887
29,Iberia,1997,10.185918160156772
29,Iberia,2000,8.971785326472073
29,Iberia,2002,8.220989231975503
29,Iberia,2006,8.080136158404159
29,Iberia,2008,11.105151905478001
29,Italy,1991,2.9513644986643515
29,Italy,1997,3.1704039855986466
29,Italy,2000,2.9412513436267687
29,Italy,2002,3.20600892432461
29,Italy,2006,2.6629942700840483
29,Italy,2008,3.2052476423567584
29,Northern,1991,44.691180621347506
29,Northern,1997,66.8260253073481
29,Northern,2000,87.94822718482114
29,Northern,2002,73.06348753114194
29,Northern,2006,42.66512283663548
29,Northern,2008,60.81029448161373
29,SEE,1991,4.1288090374424815
29,SEE,1997,4.2017723246255105
29,SEE,2000,4.1769008704973025
29,SEE,2002,3.8591754741184237
29,SEE,2006,4.518008049289103
29,SEE,2008,4.297327076180425
30,UK & Ireland,1991,0.009440693041916371
30,UK & Ireland,1997,0.013366170713935957
30,UK & Ireland,2000,0.01701412859771675
30,UK & Ireland,2002,0.015179901352043768
30,UK & Ireland,2006,0.01086010622888016
30,UK & Ireland,2008,0.013372162967398791
30,CEE,1991,0.5025745014192378
30,CEE,1997,0.5424547490818383
30,CEE,2000,0.6710176212093882
30,CEE,2002,0.382955460991883
30,CEE,2006,0.5613880715379611
30,CEE,2008,0.5718069178621714
30,CWE,1991,4.972168100278955
30,CWE,1997,5.034857450781119
30,CWE,2000,5.1204898804784635
30,CWE,2002,5.033469242162952
30,CWE,2006,5.184315574345935
30,CWE,2008,5.245794001644064
30,Iberia,1991,11.521697925713111
30,Iberia,1997,9.416306213951735
30,Iberia,2000,8.379970695874674
30,Iberia,2002,7.591046761032817
30,Iberia,2006,7.336913281295125
30,Iberia,2008,10.524611936698498
30,Italy,1991,3.068140397323254
30,Italy,1997,3.202829212482635
30,Italy,2000,3.028328286476364
30,Italy,2002,3.202358294002882
30,Italy,2006,2.6966559480991688
30,Italy,2008,3.204063815748756
30,Northern,1991,46.74745334253303
30,Northern,1997,68.50653671168159
30,Northern,2000,89.6888529771823
30,Northern,2002,74.83871621737129
30,Northern,2006,42.0911530886353
30,Northern,2008,62.119059972903926
30,SEE,1991,3.9469953037993215
30,SEE,1997,3.990863663086363
30,SEE,2000,3.986184036973202
30,SEE,2002,3.6349553318693997
30,SEE,2006,4.286284089251492
30,SEE,2008,4.100215465193936
31,UK & Ireland,1991,0.013409874845663717
31,UK & Ireland,1997,0.01414719937798102
31,UK & Ireland,2000,0.013608415554169374
31,UK & Ireland,2002,0.013872460968328386
31,UK & Ireland,2006,0.013233588531406694
31,UK & Ireland,2008,0.01407727308192524
31,CEE,1991,0.5262954624627807
31,CEE,1997,0.5453238691532387
31,CEE,2000,0.6819079723054108
31,CEE,2002,0.3771873548392075
31,CEE,2006,0.5519962537600172
31,CEE,2008,0.5887543332867803
31,CWE,1991,5.454510334363691
31,CWE,1997,5.37465132264144
31,CWE,2000,5.382773252533512
31,CWE,2002,5.314440425469961
31,CWE,2006,5.406224881575073
31,CWE,2008,5.3919124214884375
31,Iberia,1991,11.04369171678581
31,Iberia,1997,8.622088593823689
31,Iberia,2000,7.762103946534919
31,Iberia,2002,7.017113685578533
31,Iberia,2006,6.722224926583803
31,Iberia,2008,9.95186624538155
31,Italy,1991,3.183141802842674
31,Italy,1997,3.2048191187460056
31,Italy,2000,3.1320984860908423
31,Italy,2002,3.2009545899223886
31,Italy,2006,2.807447780039852
31,Italy,2008,3.204487504526925
31,Northern,1991,47.780380590566665
31,Northern,1997,69.85971531507323
31,Northern,2000,90.55496296576128
31,Northern,2002,76.13970919267697
31,Northern,2006,41.45644023043585
31,Northern,2008,62.83487307549063
31,SEE,1991,3.782586914632297
31,SEE,1997,3.8177091254824953
31,SEE,2000,3.785116305631883
31,SEE,2002,3.4221375645182963
31,SEE,2006,4.031074989655853
31,SEE,2008,3.9270685483369743
32,UK & Ireland,1991,0.015119158305002121
32,UK & Ireland,1997,0.018285804963602856
32,UK & Ireland,2000,0.015029582128276013
32,UK & Ireland,2002,0.015031967013604939
32,UK & Ireland,2006,0.015116741323792798
32,UK & Ireland,2008,0.012140092696683502
