region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
SEE,2015,0.170113310058346,0.1767919715899571,-0.006678661531611091,-3.7776950341960442,Sm,-1
Europe,1990,0.2201129284517599,0.21360890970913793,0.006504018742621964,3.0448255887257734,Sp,1
Europe,1991,0.20829213478945333,0.21360890970913793,-0.005316774919684603,-2.4890230126281843,Sm,-1
Europe,1992,0.22546173167472108,0.21360890970913793,0.011852821965583155,5.548842499932531,Mp,1
Europe,1993,0.22695419608686898,0.21360890970913793,0.013345286377731053,6.247532650160873,Mp,1
Europe,1994,0.2223374391584031,0.21360890970913793,0.008728529449265165,4.0862197467092685,Sp,1
Europe,1995,0.22451380769589993,0.21360890970913793,0.010904897986762002,5.105076376079412,Mp,1
Europe,1996,0.20442626326063487,0.21360890970913793,-0.009182646448503057,-4.298812470419269,Sm,-1
Europe,1997,0.21554595719133687,0.21360890970913793,0.0019370474821989447,0.906819610116703,Sp,1
Europe,1998,0.23110369084682586,0.21360890970913793,0.01749478113768793,8.19009898112856,Mp,1
Europe,1999,0.21734403631580734,0.21360890970913793,0.0037351266066694144,1.7485818413451835,Sp,1
Europe,2000,0.21960706194228458,0.21360890970913793,0.0059981522331466475,2.8080065767453584,Sp,1
Europe,2001,0.21829253416941907,0.21360890970913793,0.004683624460281144,2.1926166219651764,Sp,1
Europe,2002,0.2149934259235667,0.21360890970913793,0.0013845162144287826,0.6481547124200104,Sp,1
Europe,2003,0.20609795303738268,0.21360890970913793,-0.007510956671755248,-3.5162188140853274,Sm,-1
Europe,2004,0.2152031352676299,0.21360890970913793,0.0015942255584919796,0.7463291492207736,Sp,1
Europe,2005,0.20750704617443874,0.21360890970913793,-0.006101863534699187,-2.856558531667912,Sm,-1
Europe,2006,0.20149093377536148,0.21360890970913793,-0.012117975933776448,-5.67297307508239,Mm,-1
Europe,2007,0.21626544788138952,0.21360890970913793,0.002656538172251588,1.2436457710817783,Sp,1
Europe,2008,0.21713130095759967,0.21360890970913793,0.003522391248461737,1.6489907903457892,Sp,1
Europe,2009,0.20245392148830543,0.21360890970913793,-0.011154988220832496,-5.222154935401226,Mm,-1
Europe,2010,0.19839246499849378,0.21360890970913793,-0.01521644471064415,-7.123506566914147,Mm,-1
Europe,2011,0.20704187557434045,0.21360890970913793,-0.006567034134797478,-3.0743259463004264,Sm,-1
Europe,2012,0.21338955450344377,0.21360890970913793,-2.1935520569416056e-4,-0.1026901012663035,Sm,-1
Europe,2013,0.20737277850424593,0.21360890970913793,-0.006236131204891998,-2.9194153059361945,Sm,-1
Europe,2014,0.19596927765309488,0.21360890970913793,-0.017639632056043048,-8.257910252930074,Mm,-1
Europe,2015,0.21653075511487824,0.21360890970913793,0.0029218454057403087,1.3678480966542361,Sp,1
